Country,Region,Population (millions),HDI,GDP per Capita,Cropland Footprint,Grazing Footprint,Forest Footprint,Carbon Footprint,Fish Footprint
Afghanistan,Middle East/Central Asia,29.82,0.46,614.66,0.3,0.2,0.08,0.18,0
Albania,Northern/Eastern Europe,3.16,0.73,4534.37,0.78,0.22,0.25,0.87,0.02
Algeria,Africa,38.48,0.73,5430.57,0.6,0.16,0.17,1.14,0.01
Angola,Africa,20.82,0.52,4665.91,0.33,0.15,0.12,0.2,0.09
Antigua and Barbuda,Latin America,0.09,0.78,13205.1,,,,,
Argentina,Latin America,41.09,0.83,13540,0.78,0.79,0.29,1.08,0.1
Armenia,Middle East/Central Asia,2.97,0.73,3426.39,0.74,0.18,0.34,0.89,0.01
Aruba,Latin America,0.1,,,,,,,
Australia,Asia-Pacific,23.05,0.93,66604.2,2.68,0.63,0.89,4.85,0.11
Austria,European Union,8.46,0.88,51274.1,0.82,0.27,0.63,4.14,0.06
Azerbaijan,Middle East/Central Asia,9.31,0.75,7106.04,0.66,0.22,0.11,1.25,0.01
Bahamas,Latin America,0.37,0.78,22647.3,0.97,1.05,0.19,4.46,0.14
Bahrain,Middle East/Central Asia,1.32,0.82,24299,0.52,0.45,0.16,6.19,0.07
Bangladesh,Asia-Pacific,154.7,0.56,857.5,0.29,0,0.08,0.26,0.02
Barbados,Latin America,0.28,0.79,15722.8,0.56,0.24,0.14,3.28,0.22
Belarus,Northern/Eastern Europe,9.4,0.8,6300.45,1.32,0.12,0.91,2.57,0.08
Belgium,European Union,11.06,0.89,48053.3,1.15,0.48,0.99,4.43,0.12
Benin,Africa,10.05,0.48,746.83,0.49,0.04,0.26,0.51,0.08
Bermuda,North America,0.06,,70626.3,,,,,
Bhutan,Asia-Pacific,0.74,0.59,2395,0.5,0.42,3.03,0.63,0.02
Bolivia,Latin America,10.5,0.65,2253.09,0.37,1.69,0.17,0.67,0.01
Bosnia and Herzegovina,Northern/Eastern Europe,3.83,0.73,4708.85,0.63,0.27,0.44,1.74,0.02
Botswana,Africa,2,0.69,7743.5,0.3,0.89,0.24,2.36,0.01
Brazil,Latin America,198.66,0.75,13237.6,0.62,0.85,0.6,0.91,0.04
British Virgin Islands,Latin America,0.03,,,,,,,
Brunei Darussalam,Asia-Pacific,0.41,0.85,47097.4,0.31,0.13,0.26,3.24,0.09
Bulgaria,European Union,7.28,0.78,7615.28,0.6,0.13,0.35,2.08,0.03
Burkina Faso,Africa,16.46,0.39,671.07,0.47,0.17,0.36,0.12,0.03
Burundi,Africa,9.85,0.39,276.69,0.21,0.07,0.45,0.04,0
Cabo Verde,Africa,0.49,0.64,3801.45,,,,,
Cambodia,Asia-Pacific,14.86,0.55,877.64,,,,,
Cameroon,Africa,21.7,0.5,1271.21,0.54,0.1,0.21,0.19,0.08
Canada,North America,34.84,0.91,52145.4,1.46,0.33,1.2,5,0.12
Cayman Islands,Latin America,0.06,,,0.36,0.45,1.23,3.56,0.05
Central African Republic,Africa,4.53,0.37,495.04,0.3,0.55,0.26,0.08,0.02
Chad,Africa,12.45,0.39,1161.22,0.36,0.75,0.27,0.01,0.01
Chile,Latin America,17.46,0.83,14525.8,0.61,0.33,0.99,2.04,0.25
China,Asia-Pacific,1408.04,0.72,5560.94,0.55,0.13,0.19,2.32,0.08
Colombia,Latin America,47.7,0.72,7305.22,0.35,0.58,0.16,0.67,0.03
Comoros,Africa,0.72,0.5,860.24,0.33,0.03,0.18,0.25,0.25
Congo,Africa,4.34,0.57,1943.69,0.22,0.09,0.38,0.47,0.1
"Congo, Democratic Republic of",Africa,65.7,0.42,338.63,0.15,0.01,0.51,0.07,0.01
Costa Rica,Latin America,4.8,0.76,8979.96,0.4,0.21,0.68,1.37,0.08
Cote d'Ivoire,Africa,19.84,,1016.83,0.51,0.06,0.22,0.26,0.14
Croatia,Northern/Eastern Europe,4.31,0.82,14522.8,0.74,0.13,0.72,2.21,0.06
Cuba,Latin America,11.27,0.77,5175.94,0.48,0.11,0.09,1.23,0.02
Cyprus,European Union,1.13,0.85,31454.7,0.77,0.08,0.23,2.94,0.14
Czech Republic,European Union,10.66,0.87,21676.3,0.62,0.24,0.74,3.42,0.03
Denmark,European Union,5.6,0.92,61413.6,1.18,0.47,0.77,2.6,0.24
Djibouti,Africa,0.86,0.46,1433.17,,,,,
Dominica,Latin America,0.07,0.72,7088.01,0.64,0.15,0.14,1.47,0.17
Dominican Republic,Latin America,10.28,0.71,6085.89,0.35,0.12,0.12,0.86,0.04
Ecuador,Latin America,15.49,0.73,5192.88,0.3,0.3,0.24,1.08,0.18
Egypt,Africa,80.72,0.69,2930.33,0.68,0.08,0.17,1.02,0.04
El Salvador,Latin America,6.3,0.66,3696.33,0.44,0.21,0.4,0.84,0.14
Equatorial Guinea,Africa,0.74,0.58,24064,0.27,0.02,0.26,3.17,0.22
Eritrea,Africa,6.13,0.39,439.73,0.1,0.18,0.06,0.03,0.01
Estonia,European Union,1.29,0.85,17304.4,,,,,
Ethiopia,Africa,91.73,0.43,379.38,0.31,0.12,0.46,0.07,0
